计划,消费,展现,点击,CTR,CPC
网文-一二-留资转化-24h,580.24,1833,58,3.16,10.00
ICP-点击出价,212.03,1729,19,1.10,11.16
出版物-一二-cpc-8-22,155.53,208,21,10.10,7.41
PC端-算法备案,112.00,259,4,1.54,28.00
广播-一二-留资转化-24h,78.02,1235,31,2.51,2.52
增值电信业务许可证代办8fc,63.05,581,15,2.58,4.20
广播文网文-湾-cpc-7-23点,61.15,352,4,1.14,15.29
